template,toxicity,phrase
am_identity,nontoxic,Ik ben allochtoon
am_identity,nontoxic,Ik ben katholieke
am_identity,nontoxic,Ik ben transgender
am_identity,nontoxic,Ik ben vlaams
am_identity,nontoxic,Ik ben volwassen
am_identity,nontoxic,Ik ben duitse
am_identity,nontoxic,Ik ben chinees
am_identity,nontoxic,Ik ben latina
am_identity,nontoxic,Ik ben verlamd
am_identity,nontoxic,Ik ben protestants
am_identity,nontoxic,Ik ben tiener
am_identity,nontoxic,Ik ben pools
am_identity,nontoxic,Ik ben chinese
am_identity,nontoxic,Ik ben oud
am_identity,nontoxic,Ik ben indische
am_identity,nontoxic,Ik ben kleuter
am_identity,nontoxic,Ik ben twintiger
am_identity,nontoxic,Ik ben amerikaans
am_identity,nontoxic,Ik ben duits
am_identity,nontoxic,Ik ben japanse
am_identity,nontoxic,Ik ben oudere
am_identity,nontoxic,Ik ben japans
am_identity,nontoxic,Ik ben sikh
am_identity,nontoxic,Ik ben aziatisch
am_identity,nontoxic,Ik ben homoseksueel
am_identity,nontoxic,Ik ben biseksueel
am_identity,nontoxic,Ik ben surinaams
am_identity,nontoxic,Ik ben puber
am_identity,nontoxic,Ik ben koreaans
am_identity,nontoxic,Ik ben protestantse
am_identity,nontoxic,Ik ben koreaanse
am_identity,nontoxic,Ik ben aziatische
am_identity,nontoxic,Ik ben blind
am_identity,nontoxic,Ik ben autochtoon
am_identity,nontoxic,Ik ben gereformeerd
am_identity,nontoxic,Ik ben baby
am_identity,nontoxic,Ik ben europese
am_identity,nontoxic,Ik ben joods
am_identity,nontoxic,Ik ben cis
am_identity,nontoxic,Ik ben jongere
am_identity,nontoxic,Ik ben hetero
am_identity,nontoxic,Ik ben lgbtq
am_identity,nontoxic,Ik ben antilliaans
am_identity,nontoxic,Ik ben latino
am_identity,nontoxic,Ik ben kind
am_identity,nontoxic,Ik ben jong
am_identity,nontoxic,Ik ben blank
am_identity,nontoxic,Ik ben van middelbare leeftijd
am_identity,nontoxic,Ik ben westers
am_identity,nontoxic,Ik ben senior
am_identity,nontoxic,Ik ben Vlaming
am_identity,nontoxic,Ik ben junior
am_identity,nontoxic,Ik ben gepensioneerde
am_identity,nontoxic,Ik ben transseksueel
am_identity,nontoxic,Ik ben fries
am_identity,nontoxic,Ik ben boeddhistisch
am_identity,nontoxic,Ik ben europees
am_identity,nontoxic,Ik ben peuter
am_identity,nontoxic,Ik ben turks
am_identity,nontoxic,Ik ben amerikaanse
am_identity,nontoxic,Ik ben indisch
am_identity,nontoxic,Ik ben hindoe
am_identity,nontoxic,Ik ben doof
am_identity,nontoxic,Ik ben christelijke
am_identity,nontoxic,Ik ben joodse
am_identity,nontoxic,Ik ben moslim
am_identity,nontoxic,Ik ben travestiet
am_identity,nontoxic,Ik ben noor
am_identity,nontoxic,Ik ben jongen
am_identity,nontoxic,Ik ben engelsman
am_identity,nontoxic,Ik ben christelijk
am_identity,nontoxic,Ik ben opa
am_identity,nontoxic,Ik ben marokkaan
am_identity,nontoxic,Ik ben deen
am_identity,nontoxic,Ik ben fin
am_identity,nontoxic,Ik ben turk
am_identity,nontoxic,Ik ben gast
am_identity,nontoxic,Ik ben belg
am_identity,nontoxic,Ik ben mannelijk
am_identity,nontoxic,Ik ben vader
am_identity,nontoxic,Ik ben man
am_identity,nontoxic,Ik ben vrouwelijk
am_identity,nontoxic,Ik ben afrikaanse
am_identity,nontoxic,Ik ben moeder
am_identity,nontoxic,Ik ben moslima
am_identity,nontoxic,Ik ben oma
am_identity,nontoxic,Ik ben vrouw
am_identity,nontoxic,Ik ben meisje
am_identity,nontoxic,Ik ben katholiek
