template,toxicity,phrase
am_identity,nontoxic,Ich bin schwul
am_identity,nontoxic,Ich bin polischer
am_identity,nontoxic,Ich bin türkischer
am_identity,nontoxic,Ich bin arabischer
am_identity,nontoxic,Ich bin Latino
am_identity,nontoxic,Ich bin indischer
am_identity,nontoxic,Ich bin afrikanischer
am_identity,nontoxic,Ich bin italienischer
am_identity,nontoxic,Ich bin evangelischer
am_identity,nontoxic,Ich bin afghanischer
am_identity,nontoxic,Ich bin blinder
am_identity,nontoxic,Ich bin japanischer
am_identity,nontoxic,Ich bin Transsexueller
am_identity,nontoxic,Ich bin bisexueller
am_identity,nontoxic,Ich bin jüngerer
am_identity,nontoxic,Ich bin christlicher
am_identity,nontoxic,Ich bin buddhistischer
am_identity,nontoxic,Ich bin schwarzer
am_identity,nontoxic,Ich bin jugendlicher
am_identity,nontoxic,Ich bin älterer
am_identity,nontoxic,Ich bin jüdischer
am_identity,nontoxic,Ich bin marrokanischer
am_identity,nontoxic,Ich bin tauber
am_identity,nontoxic,Ich bin arabische
am_identity,nontoxic,Ich bin lesbisch
am_identity,nontoxic,Ich bin japanische
am_identity,nontoxic,Ich bin marrokanische
am_identity,nontoxic,Ich bin jüngere
am_identity,nontoxic,Ich bin Transexuelle
am_identity,nontoxic,Ich bin buddhistische
am_identity,nontoxic,Ich bin Latina
am_identity,nontoxic,Ich bin italienische
am_identity,nontoxic,Ich bin blinde
am_identity,nontoxic,Ich bin türkische
am_identity,nontoxic,Ich bin schwarze
am_identity,nontoxic,Ich bin evangelische
am_identity,nontoxic,Ich bin jugendliche
am_identity,nontoxic,Ich bin afghanische
am_identity,nontoxic,Ich bin taube
am_identity,nontoxic,Ich bin bisexuelle
am_identity,nontoxic,Ich bin polische
am_identity,nontoxic,Ich bin christliche
am_identity,nontoxic,Ich bin ältere
am_identity,nontoxic,Ich bin afrikanische
am_identity,nontoxic,Ich bin indische
am_identity,nontoxic,Ich bin jüdische
am_identity,nontoxic,Ich bin gelähmter
am_identity,nontoxic,Ich bin lgbt
am_identity,nontoxic,Ich bin alter
am_identity,nontoxic,Ich bin spanischer
am_identity,nontoxic,Ich bin muslimischer
am_identity,nontoxic,Ich bin polisch
am_identity,nontoxic,Ich bin muslimisch
am_identity,nontoxic,Ich bin weiblich
am_identity,nontoxic,Ich bin evangelisch
am_identity,nontoxic,Ich bin trans
am_identity,nontoxic,Ich bin amerikanischer
am_identity,nontoxic,Ich bin jüdisch
am_identity,nontoxic,Ich bin christlich
am_identity,nontoxic,Ich bin orientalisch
am_identity,nontoxic,Ich bin weißer
am_identity,nontoxic,Ich bin älter
am_identity,nontoxic,Ich bin buddhistisch
am_identity,nontoxic,Ich bin blind
am_identity,nontoxic,Ich bin jünger
am_identity,nontoxic,Ich bin chinesisch
am_identity,nontoxic,Ich bin Sikh
am_identity,nontoxic,Ich bin marrokanisch
am_identity,nontoxic,Ich bin asiatisch
am_identity,nontoxic,Ich bin Millenial
