template,toxicity,phrase
verb_adj,nontoxic,"{type|verb_connotation|nontoxic} {type|identity_connotation|neutral}"
verb_adj,toxic,"{type|verb_connotation|toxic} {type|identity_connotation|neutral}"
am_hate_adj,nontoxic,"{type|identity_connotation|neutral}好き"
am_hate_adj,nontoxic,"{type|identity_connotation|neutral}良い"
am_hate_adj,toxic,"{type|identity_connotation|neutral}嫌い"
am_hate_adj,toxic,"{type|identity_connotation|neutral}うざい"
am_hate_adj,toxic,"{type|identity_connotation|neutral}ウザい"
am_hate_adj,toxic,"{type|identity_connotation|neutral}きもい"
am_hate_adj,toxic,"{type|identity_connotation|neutral}キモい"
being_adj,nontoxic,"{type|identity_connotation|neutral}は{type|adjective_connotation|nontoxic}"
being_adj,nontoxic,"{type|identity_connotation|neutral}が{type|adjective_connotation|nontoxic}"
being_adj,nontoxic,"{type|adjective_connotation|nontoxic}{type|identity_connotation|neutral}"
being_adj,toxic,"{type|identity_connotation|neutral}は{type|adjective_connotation|toxic}"
being_adj,toxic,"{type|identity_connotation|neutral}が{type|adjective_connotation|toxic}"
being_adj,toxic,"{type|adjective_connotation|toxic}{type|identity_connotation|neutral}"
name_adj,nontoxic,"{type|name_connotation|neutral}{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
name_adj,nontoxic,"{type|name_connotation|neutral}は{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
name_adj,nontoxic,"{type|name_connotation|neutral}が{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
name_adj,toxic,"{type|name_connotation|neutral}{type|adjective_connotation|toxic} {type|identity_connotation|neutral}"
name_adj,toxic,"{type|name_connotation|neutral}は{type|adjective_connotation|toxic}{type|identity_connotation|neutral}"
name_adj,toxic,"{type|name_connotation|neutral}が{type|adjective_connotation|toxic}{type|identity_connotation|neutral}"
you_are_adj,nontoxic,"あなたは{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
you_are_adj,nontoxic,"君は{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
you_are_adj,nontoxic,"お前は{type|adjective_connotation|nontoxic} {type|identity_connotation|neutral}"
you_are_adj,toxic,"あなたは{type|adjective_connotation|toxic} {type|identity_connotation|neutral}"
you_are_adj,toxic,"君は{type|adjective_connotation|toxic} {type|identity_connotation|neutral}"
you_are_adj,toxic,"お前は{type|adjective_connotation|toxic} {type|identity_connotation|neutral}"
you_occupation,nontoxic,"あなたは{type|adjective_connotation|nontoxic} {type|occupation_connotation|neutral}"
you_occupation,nontoxic,"君は{type|adjective_connotation|nontoxic} {type|occupation_connotation|neutral}"
you_occupation,nontoxic,"お前は{type|adjective_connotation|nontoxic} {type|occupation_connotation|neutral}"
you_occupation,toxic,"あなたは{type|adjective_connotation|toxic} {type|occupation_connotation|neutral}"
you_occupation,toxic,"君は{type|adjective_connotation|toxic} {type|occupation_connotation|neutral}"
you_occupation,toxic,"お前は{type|adjective_connotation|toxic} {type|occupation_connotation|neutral}"
