template,toxicity,phrase
verb_adj,nontoxic,{type|verb_connotation|nontoxic} {type|identity_connotation|neutral}
verb_adj,nontoxic,{type|verb_connotation|nontoxic} {type|identity_connotation|neutral_gender|f}
verb_adj,toxic,{type|verb_connotation|toxic} {type|identity_connotation|neutral_gender|m}
verb_adj,toxic,{type|verb_connotation|toxic} {type|identity_connotation|neutral_gender|f}
am_hate_adj,nontoxic,Ich bin {type|identity_connotation|neutral_gender|n}
am_hate_adj,toxic,Ich hasse {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,{type|identity_connotation|neutral_gender|n} sein ist {type|adjective_connotation|nontoxic_gender|n}
being_adj,toxic,{type|identity_connotation|neutral_gender|n} sein ist {type|adjective_connotation|toxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} ist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} ist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f}
name_adj,toxic,{type|name_connotation|neutral_gender|m} ist ein {type|adjective_connotation|toxic_gender|m} {type|identity_connotation|neutral_gender|m}
name_adj,toxic,{type|name_connotation|neutral_gender|f} ist eine {type|adjective_connotation|toxic_gender|f} {type|identity_connotation|neutral_gender|f}
you_are_adj,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
you_are_adj,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral}
you_are_adj,toxic,Du bist ein {type|adjective_connotation|toxic_gender|m} {type|identity_connotation|neutral_gender|m}
you_are_adj,toxic,Du bist eine {type|adjective_connotation|toxic_gender|f} {type|identity_connotation|neutral_gender|f}
you_occupation,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|occupation_connotation|neutral_gender|m}
you_occupation,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|occupation_connotation|neutral_gender|f}
you_occupation,toxic,Du bist ein {type|adjective_connotation|toxic_gender|m} {type|occupation_connotation|neutral_gender|m}
you_occupation,toxic,Du bist eine {type|adjective_connotation|toxic_gender|f} {type|occupation_connotation|neutral_gender|f}
