template,toxicity,phrase
am_identity,nontoxic,Yo soy japonés
am_identity,nontoxic,Yo soy afroamericano
am_identity,nontoxic,Yo soy africano
am_identity,nontoxic,Yo soy sordo
am_identity,nontoxic,Yo soy japones
am_identity,nontoxic,Yo soy indio
am_identity,nontoxic,Yo soy mexicano
am_identity,nontoxic,Yo soy viejo
am_identity,nontoxic,Yo soy catolico
am_identity,nontoxic,Yo soy asiatico
am_identity,nontoxic,Yo soy amanerado
am_identity,nontoxic,Yo soy transgénero
am_identity,nontoxic,Yo soy musulman
am_identity,nontoxic,Yo soy chino
am_identity,nontoxic,Yo soy macho
am_identity,nontoxic,Yo soy europeo
am_identity,nontoxic,Yo soy latino
am_identity,nontoxic,Yo soy hispano
am_identity,nontoxic,Yo soy católico
am_identity,nontoxic,Yo soy paralizado
am_identity,nontoxic,Yo soy cristiano
am_identity,nontoxic,Yo soy americano
am_identity,nontoxic,Yo soy negro
am_identity,nontoxic,Yo soy transgenero
am_identity,nontoxic,Yo soy blanco
am_identity,nontoxic,Yo soy judio
am_identity,nontoxic,Yo soy anciano
am_identity,nontoxic,Yo soy africana
am_identity,nontoxic,Yo soy cristiana
am_identity,nontoxic,Yo soy sorda
am_identity,nontoxic,Yo soy afroamericana
am_identity,nontoxic,Yo soy catolica
am_identity,nontoxic,Yo soy vieja
am_identity,nontoxic,Yo soy mexicana
am_identity,nontoxic,Yo soy india
am_identity,nontoxic,Yo soy amanerada
am_identity,nontoxic,Yo soy asiatica
am_identity,nontoxic,Yo soy hispana
am_identity,nontoxic,Yo soy musulmana
am_identity,nontoxic,Yo soy europea
am_identity,nontoxic,Yo soy china
am_identity,nontoxic,Yo soy japonésa
am_identity,nontoxic,Yo soy ciega
am_identity,nontoxic,Yo soy transgénera
am_identity,nontoxic,Yo soy latina
am_identity,nontoxic,Yo soy paralizada
am_identity,nontoxic,Yo soy anciana
am_identity,nontoxic,Yo soy católica
am_identity,nontoxic,Yo soy negra
am_identity,nontoxic,Yo soy americana
am_identity,nontoxic,Yo soy lesbiana
am_identity,nontoxic,Yo soy hembra
am_identity,nontoxic,Yo soy judia
am_identity,nontoxic,Yo soy japonesa
am_identity,nontoxic,Yo soy blanca
am_identity,nontoxic,Yo soy transgenera
am_identity,nontoxic,Yo soy sikh
am_identity,nontoxic,Yo soy heterosexual
am_identity,nontoxic,Yo soy lgbtq
am_identity,nontoxic,Yo soy transexual
am_identity,nontoxic,Yo soy trans
am_identity,nontoxic,Yo soy adolescente
am_identity,nontoxic,Yo soy lgbt
am_identity,nontoxic,Yo soy millenial
am_identity,nontoxic,Yo soy budista
am_identity,nontoxic,Yo soy gay
am_identity,nontoxic,Yo soy bisexual
am_identity,nontoxic,Yo soy medio oriental
am_identity,nontoxic,Yo soy transgender
am_identity,nontoxic,Yo soy tahoísta
am_identity,nontoxic,Yo soy hetero
am_identity,nontoxic,Yo soy canadiense
am_identity,nontoxic,Yo soy latinx
am_identity,nontoxic,Yo soy tahoista
am_identity,nontoxic,Yo soy joven
am_identity,nontoxic,Yo soy homosexual
am_identity,nontoxic,Yo soy nobinario
am_identity,nontoxic,Yo soy ciego
am_identity,nontoxic,Yo soy protestante
am_eth_gen_p,nontoxic,Yo soy un canadiense transgenero
am_eth_gen_p,nontoxic,Yo soy un canadiense amanerado
am_eth_gen_p,nontoxic,Yo soy un canadiense transgénero
am_eth_gen_p,nontoxic,Yo soy un medio oriental transgenero
am_eth_gen_p,nontoxic,Yo soy un medio oriental amanerado
am_eth_gen_p,nontoxic,Yo soy un medio oriental transgénero
am_eth_gen_p,nontoxic,Yo soy un latinx transgenero
am_eth_gen_p,nontoxic,Yo soy un latinx amanerado
am_eth_gen_p,nontoxic,Yo soy un latinx transgénero
am_eth_gen_p,nontoxic,Yo soy un asiatico trans
am_eth_gen_p,nontoxic,Yo soy un asiatico transexual
am_eth_gen_p,nontoxic,Yo soy un asiatico transgender
am_eth_gen_p,nontoxic,Yo soy un latino trans
am_eth_gen_p,nontoxic,Yo soy un latino transexual
am_eth_gen_p,nontoxic,Yo soy un latino transgender
am_eth_gen_p,nontoxic,Yo soy un japonés trans
am_eth_gen_p,nontoxic,Yo soy un japonés transexual
am_eth_gen_p,nontoxic,Yo soy un japonés transgender
am_eth_gen_p,nontoxic,Yo soy un afroamericano trans
am_eth_gen_p,nontoxic,Yo soy un afroamericano transexual
am_eth_gen_p,nontoxic,Yo soy un afroamericano transgender
am_eth_gen_p,nontoxic,Yo soy un hispano trans
am_eth_gen_p,nontoxic,Yo soy un hispano transexual
am_eth_gen_p,nontoxic,Yo soy un hispano transgender
am_eth_gen_p,nontoxic,Yo soy un chino trans
am_eth_gen_p,nontoxic,Yo soy un chino transexual
am_eth_gen_p,nontoxic,Yo soy un chino transgender
am_eth_gen_p,nontoxic,Yo soy un americano trans
am_eth_gen_p,nontoxic,Yo soy un americano transexual
am_eth_gen_p,nontoxic,Yo soy un americano transgender
am_eth_gen_p,nontoxic,Yo soy un africano trans
am_eth_gen_p,nontoxic,Yo soy un africano transexual
am_eth_gen_p,nontoxic,Yo soy un africano transgender
am_eth_gen_p,nontoxic,Yo soy un negro trans
am_eth_gen_p,nontoxic,Yo soy un negro transexual
am_eth_gen_p,nontoxic,Yo soy un negro transgender
am_eth_gen_p,nontoxic,Yo soy un japones trans
am_eth_gen_p,nontoxic,Yo soy un japones transexual
am_eth_gen_p,nontoxic,Yo soy un japones transgender
am_eth_gen_p,nontoxic,Yo soy un indio trans
am_eth_gen_p,nontoxic,Yo soy un indio transexual
am_eth_gen_p,nontoxic,Yo soy un indio transgender
am_eth_gen_p,nontoxic,Yo soy un blanco trans
am_eth_gen_p,nontoxic,Yo soy un blanco transexual
am_eth_gen_p,nontoxic,Yo soy un blanco transgender
am_eth_gen_p,nontoxic,Yo soy un mexicano trans
am_eth_gen_p,nontoxic,Yo soy un mexicano transexual
am_eth_gen_p,nontoxic,Yo soy un mexicano transgender
am_eth_gen_p,nontoxic,Yo soy un europeo trans
am_eth_gen_p,nontoxic,Yo soy un europeo transexual
am_eth_gen_p,nontoxic,Yo soy un europeo transgender
am_eth_gen_p,nontoxic,Yo soy un asiatico transgenero
am_eth_gen_p,nontoxic,Yo soy un asiatico amanerado
am_eth_gen_p,nontoxic,Yo soy un asiatico transgénero
am_eth_gen_p,nontoxic,Yo soy un latino transgenero
am_eth_gen_p,nontoxic,Yo soy un latino amanerado
am_eth_gen_p,nontoxic,Yo soy un latino transgénero
am_eth_gen_p,nontoxic,Yo soy un japonés transgenero
am_eth_gen_p,nontoxic,Yo soy un japonés amanerado
am_eth_gen_p,nontoxic,Yo soy un japonés transgénero
am_eth_gen_p,nontoxic,Yo soy un afroamericano transgenero
am_eth_gen_p,nontoxic,Yo soy un afroamericano amanerado
am_eth_gen_p,nontoxic,Yo soy un afroamericano transgénero
am_eth_gen_p,nontoxic,Yo soy un hispano transgenero
am_eth_gen_p,nontoxic,Yo soy un hispano amanerado
am_eth_gen_p,nontoxic,Yo soy un hispano transgénero
am_eth_gen_p,nontoxic,Yo soy un chino transgenero
am_eth_gen_p,nontoxic,Yo soy un chino amanerado
am_eth_gen_p,nontoxic,Yo soy un chino transgénero
am_eth_gen_p,nontoxic,Yo soy un americano transgenero
am_eth_gen_p,nontoxic,Yo soy un americano amanerado
am_eth_gen_p,nontoxic,Yo soy un americano transgénero
am_eth_gen_p,nontoxic,Yo soy un africano transgenero
am_eth_gen_p,nontoxic,Yo soy un africano amanerado
am_eth_gen_p,nontoxic,Yo soy un africano transgénero
am_eth_gen_p,nontoxic,Yo soy un negro transgenero
am_eth_gen_p,nontoxic,Yo soy un negro amanerado
am_eth_gen_p,nontoxic,Yo soy un negro transgénero
am_eth_gen_p,nontoxic,Yo soy un japones transgenero
am_eth_gen_p,nontoxic,Yo soy un japones amanerado
am_eth_gen_p,nontoxic,Yo soy un japones transgénero
am_eth_gen_p,nontoxic,Yo soy un indio transgenero
am_eth_gen_p,nontoxic,Yo soy un indio amanerado
am_eth_gen_p,nontoxic,Yo soy un indio transgénero
am_eth_gen_p,nontoxic,Yo soy un blanco transgenero
am_eth_gen_p,nontoxic,Yo soy un blanco amanerado
am_eth_gen_p,nontoxic,Yo soy un blanco transgénero
am_eth_gen_p,nontoxic,Yo soy un mexicano transgenero
am_eth_gen_p,nontoxic,Yo soy un mexicano amanerado
am_eth_gen_p,nontoxic,Yo soy un mexicano transgénero
am_eth_gen_p,nontoxic,Yo soy un europeo transgenero
am_eth_gen_p,nontoxic,Yo soy un europeo amanerado
am_eth_gen_p,nontoxic,Yo soy un europeo transgénero
am_eth_gen_p,nontoxic,Yo soy un canadiense trans
am_eth_gen_p,nontoxic,Yo soy un canadiense transexual
am_eth_gen_p,nontoxic,Yo soy un canadiense transgender
am_eth_gen_p,nontoxic,Yo soy un medio oriental trans
am_eth_gen_p,nontoxic,Yo soy un medio oriental transexual
am_eth_gen_p,nontoxic,Yo soy un medio oriental transgender
am_eth_gen_p,nontoxic,Yo soy un latinx trans
am_eth_gen_p,nontoxic,Yo soy un latinx transexual
am_eth_gen_p,nontoxic,Yo soy un latinx transgender
am_eth_gen_p,nontoxic,Yo soy una canadiense transgénera
am_eth_gen_p,nontoxic,Yo soy una canadiense amanerada
am_eth_gen_p,nontoxic,Yo soy una canadiense transgenera
am_eth_gen_p,nontoxic,Yo soy una medio oriental transgénera
