template,toxicity,phrase
verb_adj,nontoxic,mögen asiatischer
verb_adj,nontoxic,mögen blinde 
verb_adj,nontoxic,mögen jugendliche
verb_adj,nontoxic,mögen blinder
verb_adj,nontoxic,mögen marrokanisch
verb_adj,nontoxic,mögen bisexueller
verb_adj,nontoxic,mögen älterer
verb_adj,nontoxic,mögen afrikanischer
verb_adj,nontoxic,mögen buddhistisch
verb_adj,nontoxic,mögen lgbt
verb_adj,nontoxic,mögen afghanische 
verb_adj,nontoxic,mögen blind
verb_adj,nontoxic,mögen lgbtq
verb_adj,nontoxic,mögen italienischer
verb_adj,nontoxic,mögen weißer
verb_adj,nontoxic,mögen mittleren Alters
verb_adj,nontoxic,mögen christlicher
verb_adj,nontoxic,mögen schwul
verb_adj,nontoxic,mögen afrikanische 
verb_adj,nontoxic,mögen Hetero 
verb_adj,nontoxic,mögen afghanischer
verb_adj,nontoxic,mögen weiblich
verb_adj,nontoxic,mögen afrikanisch
verb_adj,nontoxic,mögen polisch
verb_adj,nontoxic,mögen italienische 
verb_adj,nontoxic,mögen jüngere 
verb_adj,nontoxic,mögen jung
verb_adj,nontoxic,mögen christliche 
verb_adj,nontoxic,mögen non-binär
verb_adj,nontoxic,mögen junger
verb_adj,nontoxic,mögen spanisch
verb_adj,nontoxic,mögen muslimischer
verb_adj,nontoxic,mögen jünger
verb_adj,nontoxic,mögen heterosexueller
verb_adj,nontoxic,mögen europäischer
verb_adj,nontoxic,mögen marrokanische 
verb_adj,nontoxic,mögen evangelische 
verb_adj,nontoxic,mögen indischer
verb_adj,nontoxic,mögen alt
verb_adj,nontoxic,mögen queer
verb_adj,nontoxic,mögen bisexuel
verb_adj,nontoxic,mögen älter
verb_adj,nontoxic,mögen bisexuelle
verb_adj,nontoxic,mögen alter
verb_adj,nontoxic,mögen muslimisch
verb_adj,nontoxic,mögen indische 
verb_adj,nontoxic,mögen jüdisch
verb_adj,nontoxic,mögen japanisch
verb_adj,nontoxic,mögen Millenial
verb_adj,nontoxic,mögen homosexuell
verb_adj,nontoxic,mögen afghanisch
verb_adj,nontoxic,mögen marrokanischer
verb_adj,nontoxic,mögen chinesisch
verb_adj,nontoxic,mögen japanischer
verb_adj,nontoxic,mögen Transsexueller
verb_adj,nontoxic,mögen Transexuelle
verb_adj,nontoxic,mögen evangelisch
verb_adj,nontoxic,mögen türkisch
verb_adj,nontoxic,mögen jüdische
verb_adj,nontoxic,mögen heterosexuell
verb_adj,nontoxic,mögen ältere
verb_adj,nontoxic,mögen arabisch
verb_adj,nontoxic,mögen asiatisch
verb_adj,nontoxic,mögen lesbisch
verb_adj,nontoxic,mögen gelähmt
verb_adj,nontoxic,mögen türkischer
verb_adj,nontoxic,mögen katholisch
