template,toxicity,phrase
am_identity,nontoxic,lo sono musulmano
am_identity,nontoxic,lo sono cattolico
am_identity,nontoxic,lo sono americano
am_identity,nontoxic,lo sono messicano
am_identity,nontoxic,lo sono cieco
am_identity,nontoxic,lo sono indiano
am_identity,nontoxic,lo sono paralizzato
am_identity,nontoxic,lo sono più anziano
am_identity,nontoxic,lo sono ebraico
am_identity,nontoxic,lo sono sordo
am_identity,nontoxic,lo sono bianco
am_identity,nontoxic,lo sono vecchio
am_identity,nontoxic,lo sono europeo
am_identity,nontoxic,lo sono cristiano
am_identity,nontoxic,lo sono ispanico
am_identity,nontoxic,lo sono nero
am_identity,nontoxic,lo sono più vecchio
am_identity,nontoxic,lo sono afroamericano
am_identity,nontoxic,lo sono asiatico
am_identity,nontoxic,lo sono anziano
am_identity,nontoxic,lo sono latino
am_identity,nontoxic,lo sono africano
am_identity,nontoxic,lo sono americana
am_identity,nontoxic,lo sono messicana
am_identity,nontoxic,lo sono musulmana
am_identity,nontoxic,lo sono nera
am_identity,nontoxic,lo sono paralizzata
am_identity,nontoxic,lo sono indiana
am_identity,nontoxic,lo sono cieca
am_identity,nontoxic,lo sono anziana
am_identity,nontoxic,lo sono sorda
am_identity,nontoxic,lo sono ebraica
am_identity,nontoxic,lo sono più anziana
am_identity,nontoxic,lo sono vecchia
am_identity,nontoxic,lo sono bianca
am_identity,nontoxic,lo sono afroamericana
am_identity,nontoxic,lo sono più vecchia
am_identity,nontoxic,lo sono ispanica
am_identity,nontoxic,lo sono cristiana
am_identity,nontoxic,lo sono europea
am_identity,nontoxic,lo sono africana
am_identity,nontoxic,lo sono latina
am_identity,nontoxic,lo sono cattolica
am_identity,nontoxic,lo sono asiatica
am_identity,nontoxic,lo sono giapponese
am_identity,nontoxic,lo sono culattone
am_identity,nontoxic,lo sono di mezza età
am_identity,nontoxic,lo sono sikh
am_identity,nontoxic,lo sono canadese
am_identity,nontoxic,lo sono adolescente
am_identity,nontoxic,lo sono bisessuale
am_identity,nontoxic,lo sono protestante
am_identity,nontoxic,lo sono cinese
am_identity,nontoxic,lo sono taoista
am_identity,nontoxic,lo sono uomo
am_identity,nontoxic,lo sono medio orientale
am_identity,nontoxic,lo sono maschio
am_identity,nontoxic,lo sono transessuale
am_identity,nontoxic,lo sono trans
am_identity,nontoxic,lo sono eterosessuale
am_identity,nontoxic,lo sono bisex
am_identity,nontoxic,lo sono gay
am_identity,nontoxic,lo sono etero
am_identity,nontoxic,lo sono donna
am_identity,nontoxic,lo sono omosessuale
am_identity,nontoxic,lo sono buddista
am_identity,nontoxic,lo sono minore
am_identity,nontoxic,lo sono giovane
am_identity,nontoxic,lo sono lesbica
am_identity,nontoxic,lo sono femmina
am_eth_gen_p,nontoxic,lo sono un europeo trans
am_eth_gen_p,nontoxic,lo sono un europeo uomo
am_eth_gen_p,nontoxic,lo sono un europeo femmina
am_eth_gen_p,nontoxic,lo sono un europeo maschio
am_eth_gen_p,nontoxic,lo sono un europeo transessuale
am_eth_gen_p,nontoxic,lo sono un europeo donna
am_eth_gen_p,nontoxic,lo sono un ispanico trans
am_eth_gen_p,nontoxic,lo sono un ispanico uomo
am_eth_gen_p,nontoxic,lo sono un ispanico femmina
am_eth_gen_p,nontoxic,lo sono un ispanico maschio
am_eth_gen_p,nontoxic,lo sono un ispanico transessuale
am_eth_gen_p,nontoxic,lo sono un ispanico donna
am_eth_gen_p,nontoxic,lo sono un nero trans
am_eth_gen_p,nontoxic,lo sono un nero uomo
am_eth_gen_p,nontoxic,lo sono un nero femmina
am_eth_gen_p,nontoxic,lo sono un nero maschio
am_eth_gen_p,nontoxic,lo sono un nero transessuale
am_eth_gen_p,nontoxic,lo sono un nero donna
am_eth_gen_p,nontoxic,lo sono un americano trans
am_eth_gen_p,nontoxic,lo sono un americano uomo
am_eth_gen_p,nontoxic,lo sono un americano femmina
am_eth_gen_p,nontoxic,lo sono un americano maschio
am_eth_gen_p,nontoxic,lo sono un americano transessuale
am_eth_gen_p,nontoxic,lo sono un americano donna
am_eth_gen_p,nontoxic,lo sono un indiano trans
am_eth_gen_p,nontoxic,lo sono un indiano uomo
am_eth_gen_p,nontoxic,lo sono un indiano femmina
am_eth_gen_p,nontoxic,lo sono un indiano maschio
am_eth_gen_p,nontoxic,lo sono un indiano transessuale
am_eth_gen_p,nontoxic,lo sono un indiano donna
am_eth_gen_p,nontoxic,lo sono un asiatico trans
am_eth_gen_p,nontoxic,lo sono un asiatico uomo
am_eth_gen_p,nontoxic,lo sono un asiatico femmina
am_eth_gen_p,nontoxic,lo sono un asiatico maschio
am_eth_gen_p,nontoxic,lo sono un asiatico transessuale
am_eth_gen_p,nontoxic,lo sono un asiatico donna
am_eth_gen_p,nontoxic,lo sono un bianco trans
am_eth_gen_p,nontoxic,lo sono un bianco uomo
am_eth_gen_p,nontoxic,lo sono un bianco femmina
am_eth_gen_p,nontoxic,lo sono un bianco maschio
am_eth_gen_p,nontoxic,lo sono un bianco transessuale
am_eth_gen_p,nontoxic,lo sono un bianco donna
am_eth_gen_p,nontoxic,lo sono un afroamericano trans
am_eth_gen_p,nontoxic,lo sono un afroamericano uomo
am_eth_gen_p,nontoxic,lo sono un afroamericano femmina
am_eth_gen_p,nontoxic,lo sono un afroamericano maschio
am_eth_gen_p,nontoxic,lo sono un afroamericano transessuale
am_eth_gen_p,nontoxic,lo sono un afroamericano donna
am_eth_gen_p,nontoxic,lo sono un latino trans
am_eth_gen_p,nontoxic,lo sono un latino uomo
