template,toxicity,phrase
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} il {type|identity_connotation|neutral_gender|m}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} lo {type|identity_connotation|neutral_gender|m}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} la {type|identity_connotation|neutral_gender|f}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} il {type|identity_connotation|neutral_gender|n}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} lo {type|identity_connotation|neutral_gender|n}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} la {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,lo sono {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,Io sono {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,Io sono {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,E'{type|adjective_connotation|nontoxic_gender|m} essere {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,E'{type|adjective_connotation|nontoxic_gender|m} essere {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,E'{type|adjective_connotation|nontoxic_gender|m} essere {type|identity_connotation|neutral_gender|n}
proud_adj,nontoxic,Sono fiero di essere {type|identity_connotation|neutral_gender|f}
proud_adj,nontoxic,Sono fiero di essere {type|identity_connotation|neutral_gender|m}
proud_adj,nontoxic,Sono fiero di essere {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} e' un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|f}
name_adj,nontoxic,{type|name_connotation|neutral_gender|f} e' una {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
you_are_adj,nontoxic,Tu sei un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
you_are_adj,nontoxic,Tu sei un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
you_are_adj,nontoxic,Tu sei un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
you_are_adj,nontoxic,Tu sei un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_adj,nontoxic,Tu sei un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
you_are_adj,nontoxic,Tu sei un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|n}
you_are_adj,nontoxic,Tu sei un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|m}
you_are_adj,nontoxic,Tu sei un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
you_are_adj,nontoxic,Tu sei una {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
you_are_adj,nontoxic,Tu sei una {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
you_are_adj,nontoxic,Tu sei una {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_adj,nontoxic,Tu sei una {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_adj,nontoxic,Tu sei una {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f}
you_are_adj,nontoxic,Tu sei una {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|n}
you_are_adj,nontoxic,Tu sei una {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|f}
you_are_adj,nontoxic,Tu sei una {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
you_are_adj,nontoxic,Tu sei un {type|occupation_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
you_are_adj,nontoxic,Tu sei un {type|occupation_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
you_are_adj,nontoxic,Tu sei un {type|occupation_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
