template,toxicity,phrase
am_identity,nontoxic,Eu sou negro
am_identity,nontoxic,Eu sou afro-americano
am_identity,nontoxic,Eu sou tetraplégico
am_identity,nontoxic,Eu sou latino
am_identity,nontoxic,Eu sou cego
am_identity,nontoxic,Eu sou asiático
am_identity,nontoxic,Eu sou reformado
am_identity,nontoxic,Eu sou gay
am_identity,nontoxic,Eu sou chinês
am_identity,nontoxic,Eu sou cristão
am_identity,nontoxic,Eu sou branco
am_identity,nontoxic,Eu sou paralisado
am_identity,nontoxic,Eu sou surdo
am_identity,nontoxic,Eu sou indiano
am_identity,nontoxic,Eu sou mudo
am_identity,nontoxic,Eu sou europeu
am_identity,nontoxic,Eu sou africano
am_identity,nontoxic,Eu sou mexicano
am_identity,nontoxic,Eu sou hispânico
am_identity,nontoxic,Eu sou japonês
am_identity,nontoxic,Eu sou idoso
am_identity,nontoxic,Eu sou adulto
am_identity,nontoxic,Eu sou americano
am_identity,nontoxic,Eu sou não-binário
am_identity,nontoxic,Eu sou canadiano
am_identity,nontoxic,Eu sou muçulmano
am_identity,nontoxic,Eu sou homem
am_identity,nontoxic,Eu sou judeu
am_identity,nontoxic,Eu sou católico
am_identity,nontoxic,Eu sou asiática
am_identity,nontoxic,Eu sou reformada
am_identity,nontoxic,Eu sou latina
am_identity,nontoxic,Eu sou cega
am_identity,nontoxic,Eu sou afro-americana
am_identity,nontoxic,Eu sou negra
am_identity,nontoxic,Eu sou branca
am_identity,nontoxic,Eu sou chinesa
am_identity,nontoxic,Eu sou muda
am_identity,nontoxic,Eu sou lésbica
am_identity,nontoxic,Eu sou indiana
am_identity,nontoxic,Eu sou surda
am_identity,nontoxic,Eu sou paralisada
am_identity,nontoxic,Eu sou hispânica
am_identity,nontoxic,Eu sou mexicana
am_identity,nontoxic,Eu sou japonesa
am_identity,nontoxic,Eu sou africana
am_identity,nontoxic,Eu sou adulta
am_identity,nontoxic,Eu sou idosa
am_identity,nontoxic,Eu sou cristã
am_identity,nontoxic,Eu sou judia
am_identity,nontoxic,Eu sou muçulmana
am_identity,nontoxic,Eu sou européia
am_identity,nontoxic,Eu sou não-binária
am_identity,nontoxic,Eu sou americana
am_identity,nontoxic,Eu sou tetraplégica
am_identity,nontoxic,Eu sou canadiana
am_identity,nontoxic,Eu sou católica
am_identity,nontoxic,Eu sou mulher
am_identity,nontoxic,Eu sou deficiente
am_identity,nontoxic,Eu sou homossexual
am_identity,nontoxic,Eu sou criança
am_identity,nontoxic,Eu sou lgbt
am_identity,nontoxic,Eu sou sique
am_identity,nontoxic,Eu sou bebé
am_identity,nontoxic,Eu sou heterossexual
am_identity,nontoxic,Eu sou budista
am_identity,nontoxic,Eu sou adolescente
am_identity,nontoxic,Eu sou lgbtq
am_identity,nontoxic,Eu sou taoísta
am_identity,nontoxic,Eu sou hetero
am_identity,nontoxic,Eu sou bissexual
am_identity,nontoxic,Eu sou assexual
am_identity,nontoxic,Eu sou protestante
am_identity,nontoxic,Eu sou jovem
am_eth_gen_p,nontoxic,Eu sou um negro homem
am_eth_gen_p,nontoxic,Eu sou um negro não-binário
am_eth_gen_p,nontoxic,Eu sou um afro-americano homem
am_eth_gen_p,nontoxic,Eu sou um afro-americano não-binário
am_eth_gen_p,nontoxic,Eu sou um indiano homem
am_eth_gen_p,nontoxic,Eu sou um indiano não-binário
am_eth_gen_p,nontoxic,Eu sou um canadiano homem
am_eth_gen_p,nontoxic,Eu sou um canadiano não-binário
am_eth_gen_p,nontoxic,Eu sou um latino homem
am_eth_gen_p,nontoxic,Eu sou um latino não-binário
am_eth_gen_p,nontoxic,Eu sou um asiático homem
am_eth_gen_p,nontoxic,Eu sou um asiático não-binário
am_eth_gen_p,nontoxic,Eu sou um europeu homem
am_eth_gen_p,nontoxic,Eu sou um europeu não-binário
