template,toxicity,phrase
am_identity,nontoxic,Я свидетель иеговы
am_identity,nontoxic,Я индуист
am_identity,nontoxic,Я гомосексуал
am_identity,nontoxic,Я православный
am_identity,nontoxic,Я аварец
am_identity,nontoxic,Я пожилой
am_identity,nontoxic,Я украинец
am_identity,nontoxic,Я христианин
am_identity,nontoxic,Я еврей
am_identity,nontoxic,Я американец
am_identity,nontoxic,Я армянин
am_identity,nontoxic,Я гомосексуалист
am_identity,nontoxic,Я татарин
am_identity,nontoxic,Я молодой
am_identity,nontoxic,Я мужчина
am_identity,nontoxic,Я немой
am_identity,nontoxic,Я русский
am_identity,nontoxic,Я гей
am_identity,nontoxic,Я афроамериканец
am_identity,nontoxic,Я старик
am_identity,nontoxic,Я слепой
am_identity,nontoxic,Я негр
am_identity,nontoxic,Я индеец
am_identity,nontoxic,Я башкир
am_identity,nontoxic,Я азиат
am_identity,nontoxic,Я чеченец
am_identity,nontoxic,Я европеец
am_identity,nontoxic,Я азербайджанец
am_identity,nontoxic,Я австралиец
am_identity,nontoxic,Я белый
am_identity,nontoxic,Я бисексуал
am_identity,nontoxic,Я латиноамериканец
am_identity,nontoxic,Я африканец
am_identity,nontoxic,Я мусульманин
am_identity,nontoxic,Я белорус
am_identity,nontoxic,Я транс-мужчина
am_identity,nontoxic,Я казах
am_identity,nontoxic,Я католик
am_identity,nontoxic,Я умственно отсталый
am_identity,nontoxic,Я глухой
am_identity,nontoxic,Я чуваш
am_identity,nontoxic,Я немая
am_identity,nontoxic,Я австралийка
am_identity,nontoxic,Я лесбиянка
am_identity,nontoxic,Я армянка
am_identity,nontoxic,Я американка
am_identity,nontoxic,Я аварка
am_identity,nontoxic,Я негритянка
am_identity,nontoxic,Я татарка
am_identity,nontoxic,Я белоруска
am_identity,nontoxic,Я белая
am_identity,nontoxic,Я пожилая
am_identity,nontoxic,Я католичка
am_identity,nontoxic,Я транс-женщина
am_identity,nontoxic,Я чувашка
am_identity,nontoxic,Я индуистка
am_identity,nontoxic,Я женщина
am_identity,nontoxic,Я африканка
am_identity,nontoxic,Я русская
am_identity,nontoxic,Я украинка
am_identity,nontoxic,Я молодая
am_identity,nontoxic,Я башкирка
am_identity,nontoxic,Я умственно отсталая
am_identity,nontoxic,Я слепая
am_identity,nontoxic,Я азербайджанка
am_identity,nontoxic,Я христианка
am_identity,nontoxic,Я казашка
am_identity,nontoxic,Я чеченка
am_identity,nontoxic,Я афроамериканка
am_identity,nontoxic,Я бисексуалка
am_identity,nontoxic,Я православная
am_identity,nontoxic,Я свидетельница иеговы
am_identity,nontoxic,Я азиатка
am_identity,nontoxic,Я старуха
am_identity,nontoxic,Я глухая
am_identity,nontoxic,Я индианка
am_identity,nontoxic,Я еврейка
am_identity,nontoxic,Я европейка
am_identity,nontoxic,Я мусульманка
am_identity,nontoxic,Я латиноамериканка
am_eth_gen_p,nontoxic,Я чукча транс-мужчина
am_eth_gen_p,nontoxic,Я чукча мужчина
am_eth_gen_p,nontoxic,Я мордва транс-мужчина
am_eth_gen_p,nontoxic,Я мордва мужчина
am_eth_gen_p,nontoxic,Я белый андрогин
am_eth_gen_p,nontoxic,Я белый трансгендер
am_eth_gen_p,nontoxic,Я белый гермафродит
am_eth_gen_p,nontoxic,Я индеец андрогин
am_eth_gen_p,nontoxic,Я индеец трансгендер
am_eth_gen_p,nontoxic,Я индеец гермафродит
am_eth_gen_p,nontoxic,Я латиноамериканец андрогин
am_eth_gen_p,nontoxic,Я латиноамериканец трансгендер
am_eth_gen_p,nontoxic,Я латиноамериканец гермафродит
am_eth_gen_p,nontoxic,Я аварец андрогин
am_eth_gen_p,nontoxic,Я аварец трансгендер
am_eth_gen_p,nontoxic,Я аварец гермафродит
am_eth_gen_p,nontoxic,Я африканец андрогин
am_eth_gen_p,nontoxic,Я африканец трансгендер
am_eth_gen_p,nontoxic,Я африканец гермафродит
am_eth_gen_p,nontoxic,Я украинец андрогин
am_eth_gen_p,nontoxic,Я украинец трансгендер
am_eth_gen_p,nontoxic,Я украинец гермафродит
am_eth_gen_p,nontoxic,Я башкир андрогин
am_eth_gen_p,nontoxic,Я башкир трансгендер
am_eth_gen_p,nontoxic,Я башкир гермафродит
am_eth_gen_p,nontoxic,Я чуваш андрогин
am_eth_gen_p,nontoxic,Я чуваш трансгендер
am_eth_gen_p,nontoxic,Я чуваш гермафродит
am_eth_gen_p,nontoxic,Я русский андрогин
am_eth_gen_p,nontoxic,Я русский трансгендер
am_eth_gen_p,nontoxic,Я русский гермафродит
am_eth_gen_p,nontoxic,Я армянин андрогин
am_eth_gen_p,nontoxic,Я армянин трансгендер
am_eth_gen_p,nontoxic,Я армянин гермафродит
am_eth_gen_p,nontoxic,Я афроамериканец андрогин
am_eth_gen_p,nontoxic,Я афроамериканец трансгендер
